Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Random Forest,0.8557692307692307,0.6703296703296703,0.8026315789473685,0.7305389221556886,0.9062778768956289
Gradient Boosting,0.8557692307692307,0.7313432835820896,0.6447368421052632,0.6853146853146853,0.9062221231043711
XGBoost,0.8589743589743589,0.7352941176470589,0.6578947368421053,0.6944444444444444,0.9006467439785905
Logistic Regression,0.8269230769230769,0.6170212765957447,0.7631578947368421,0.6823529411764706,0.8928412132024978
SVM,0.842948717948718,0.651685393258427,0.7631578947368421,0.703030303030303,0.8894402319357716
Decision Tree,0.8269230769230769,0.627906976744186,0.7105263157894737,0.6666666666666666,0.8443632917038357
KNN,0.8237179487179487,0.723404255319149,0.4473684210526316,0.5528455284552846,0.8389272970561998
